playercostasassoprando: .word 16, 16
.byte 199,199,199,199,199,191,199,199,199,199,199,199,199,199,199,199,
199,199,199,199,191,199,191,199,199,199,199,191,199,199,199,199,
24,199,199,199,199,191,199,199,199,199,191,199,191,199,199,24,
199,24,199,199,199,199,199,0,0,199,199,191,199,199,24,199,
199,199,0,0,199,199,0,159,159,0,199,199,0,0,199,199,
199,0,7,7,0,0,159,239,239,159,0,0,7,7,0,199,
199,0,7,0,159,239,239,239,239,239,239,159,0,7,0,199,
199,199,0,239,239,159,239,239,239,239,159,239,159,0,199,199,
199,0,239,239,239,239,239,239,239,239,239,239,239,239,0,199,
0,159,239,159,239,239,239,239,159,239,239,239,159,239,159,0,
0,159,159,239,239,239,239,159,159,239,239,239,239,159,159,0,
199,0,0,239,159,159,239,239,239,239,159,159,239,0,0,199,
199,199,0,0,0,0,159,0,0,159,0,0,0,0,199,199,
199,0,47,31,47,47,0,31,31,0,47,47,31,47,0,199,
199,199,0,47,47,31,47,47,31,47,31,47,47,0,199,199,
199,199,199,0,0,0,0,0,0,0,0,0,0,199,199,199,


